,cough,fever,altered_consciousness,diarrhoea,fatigue,headache,joint_pain,loss_of_appetite,muscle_ache,nausea,nose_bleed,rash,runny_nose,seizures,sneezing,sore_throat,vomiting,other_symptoms,loss_of_smell_or_taste
cough,0.0,0.7410533332616561,0.9593467262572698,0.8510442012523496,0.6689340403205587,0.6515790207110383,0.7075650141134704,0.7308899839755665,0.6787002463579404,0.812841771035456,0.9765746871986071,0.9824808424768195,0.8072674901085252,0.9967844390522973,0.8038346947525808,0.7491598556196324,0.9491613822405118,0.840720068386383,0.7737951717197884
fever,0.7410533332616561,0.0,0.9400973674309364,0.8505842702592727,0.7322787800311467,0.7430119675286635,0.7490355329949239,0.7559939466737243,0.7418694577370558,0.8084922363922682,0.9729767248160659,0.9783017435681837,0.8623675684492256,0.9954983767605209,0.8591060532613128,0.818395577801001,0.9292342739729087,0.8700948269215943,0.8042241804914009
altered_consciousness,0.9593467262572698,0.9400973674309364,0.0,0.9323068999135441,0.9380585246188891,0.9539133297308713,0.9441105313292927,0.9309653339474012,0.9503383319221592,0.9253149326645695,0.9605392760403841,0.9662533978651462,0.9552372655529363,0.986410371032633,0.9491635022838589,0.9537290938396166,0.9311681368618017,0.9593387004695273,0.9469014112781804
diarrhoea,0.8510442012523496,0.8505842702592727,0.9323068999135441,0.0,0.7991666502103122,0.8300524037366143,0.8203025014543339,0.7790804824669662,0.8292152983018585,0.7805252817929385,0.9625748791340023,0.9720359035532002,0.8683019516480159,0.9948402130492676,0.8583313189912175,0.861435365326416,0.8925139421242893,0.8914110160193109,0.8418006693331157
fatigue,0.6689340403205587,0.7322787800311467,0.9380585246188891,0.7991666502103122,0.0,0.5982948126304501,0.598168259565818,0.5768740984833397,0.5831237703775232,0.7162340433787296,0.9693209011848479,0.9762223441214116,0.7965099290531459,0.9961761486346558,0.7844038363728838,0.7418276645262597,0.9302914077256932,0.8179640917287078,0.7114140727295206
headache,0.6515790207110383,0.7430119675286635,0.9539133297308713,0.8300524037366143,0.5982948126304501,0.0,0.5950834879406308,0.6741183282181084,0.5657791925915208,0.7423029311891701,0.9730182650400505,0.9788494077834179,0.7738018073999475,0.996433224137713,0.7673982987350698,0.6944679054054054,0.9427582419616578,0.8067137916082647,0.7305303945249597
joint_pain,0.7075650141134704,0.7490355329949239,0.9441105313292927,0.8203025014543339,0.598168259565818,0.5950834879406308,0.0,0.6661779443970157,0.47237947571485234,0.7453546376230379,0.969284729198236,0.9755390391803013,0.7997169555271219,0.9959412127691011,0.7846104140864789,0.7336963937924105,0.9372269067814176,0.8368276790651824,0.7452896985407066
loss_of_appetite,0.7308899839755665,0.7559939466737243,0.9309653339474012,0.7790804824669662,0.5768740984833397,0.6741183282181084,0.6661779443970157,0.0,0.6704539797210959,0.6693551649098396,0.9653425701687524,0.9746919972514444,0.8191329316965604,0.9956641118836915,0.804201421512024,0.7793932786044125,0.9117428712833594,0.8299774683841055,0.6864219788499314
muscle_ache,0.6787002463579404,0.7418694577370558,0.9503383319221592,0.8292152983018585,0.5831237703775232,0.5657791925915208,0.47237947571485234,0.6704539797210959,0.0,0.7592883371111913,0.9731204754795639,0.9777337671523554,0.7932094164593104,0.9963653275140414,0.783340148026998,0.724497244526666,0.9428229731224422,0.8153722569894866,0.7392743544126368
nausea,0.812841771035456,0.8084922363922682,0.9253149326645695,0.7805252817929385,0.7162340433787296,0.7423029311891701,0.7453546376230379,0.6693551649098396,0.7592883371111913,0.0,0.9623520337021984,0.9702900506913824,0.8494568515337213,0.9945986449779887,0.8308706647398844,0.8163050624589087,0.8511494766973791,0.864701520503273,0.7856522440947908
nose_bleed,0.9765746871986071,0.9729767248160659,0.9605392760403841,0.9625748791340023,0.9693209011848479,0.9730182650400505,0.969284729198236,0.9653425701687524,0.9731204754795639,0.9623520337021984,0.0,0.9678849285326578,0.9644080955185522,0.9908308647199887,0.9633862676966373,0.9721864537728561,0.963528857725917,0.9775546722069438,0.9702102863451886
rash,0.9824808424768195,0.9783017435681837,0.9662533978651462,0.9720359035532002,0.9762223441214116,0.9788494077834179,0.9755390391803013,0.9746919972514444,0.9777337671523554,0.9702900506913824,0.9678849285326578,0.0,0.9768261354924614,0.9873876986869385,0.9728817487795338,0.9778015772563529,0.9722453510963086,0.979391858993086,0.9768915776694035
runny_nose,0.8072674901085252,0.8623675684492256,0.9552372655529363,0.8683019516480159,0.7965099290531459,0.7738018073999475,0.7997169555271219,0.8191329316965604,0.7932094164593104,0.8494568515337213,0.9644080955185522,0.9768261354924614,0.0,0.9951730699275261,0.6385918491181649,0.7788432997693906,0.9552403096940164,0.8590871356653795,0.8227146222889723
seizures,0.9967844390522973,0.9954983767605209,0.986410371032633,0.9948402130492676,0.9961761486346558,0.996433224137713,0.9959412127691011,0.9956641118836915,0.9963653275140414,0.9945986449779887,0.9908308647199887,0.9873876986869385,0.9951730699275261,0.0,0.9952209374199092,0.9961620184445606,0.9910853261638602,0.9967984269436322,0.9961823608196324
sneezing,0.8038346947525808,0.8591060532613128,0.9491635022838589,0.8583313189912175,0.7844038363728838,0.7673982987350698,0.7846104140864789,0.804201421512024,0.783340148026998,0.8308706647398844,0.9633862676966373,0.9728817487795338,0.6385918491181649,0.9952209374199092,0.0,0.7757094085830751,0.9508929752612779,0.8603577338271216,0.8111166348843594
sore_throat,0.7491598556196324,0.818395577801001,0.9537290938396166,0.861435365326416,0.7418276645262597,0.6944679054054054,0.7336963937924105,0.7793932786044125,0.724497244526666,0.8163050624589087,0.9721864537728561,0.9778015772563529,0.7788432997693906,0.9961620184445606,0.7757094085830751,0.0,0.949759105013882,0.8479108024627944,0.8092955465587045
vomiting,0.9491613822405118,0.9292342739729087,0.9311681368618017,0.8925139421242893,0.9302914077256932,0.9427582419616578,0.9372269067814176,0.9117428712833594,0.9428229731224422,0.8511494766973791,0.963528857725917,0.9722453510963086,0.9552403096940164,0.9910853261638602,0.9508929752612779,0.949759105013882,0.0,0.9597401718654848,0.9410106842642785
other_symptoms,0.840720068386383,0.8700948269215943,0.9593387004695273,0.8914110160193109,0.8179640917287078,0.8067137916082647,0.8368276790651824,0.8299774683841055,0.8153722569894866,0.864701520503273,0.9775546722069438,0.979391858993086,0.8590871356653795,0.9967984269436322,0.8603577338271216,0.8479108024627944,0.9597401718654848,0.0,0.8510091962259644
loss_of_smell_or_taste,0.7737951717197884,0.8042241804914009,0.9469014112781804,0.8418006693331157,0.7114140727295206,0.7305303945249597,0.7452896985407066,0.6864219788499314,0.7392743544126368,0.7856522440947908,0.9702102863451886,0.9768915776694035,0.8227146222889723,0.9961823608196324,0.8111166348843594,0.8092955465587045,0.9410106842642785,0.8510091962259644,0.0
